order_detail_id,order_id,product_id,quantity,discount,revenue,profit
1,1402,33,4,0.13,4488.350182334723,1826.1501823347232
2,149,126,2,0.25,2459.3314899946063,342.83148999460605
3,985,67,3,0.26,4649.485916149343,1836.7459161493439
4,852,30,3,0.31,390.0795174520665,54.7395174520666
5,1457,114,1,0.06,1777.6712826730736,506.7912826730738
6,628,29,1,0.3,330.37123243495375,61.57123243495375
7,1750,131,1,0.24,1700.723665670387,467.24366567038686
8,1493,185,2,0.02,6171.773885431973,2545.7738854319737
9,446,30,3,0.31,390.0795174520665,54.7395174520666
10,1505,137,1,0.15,1118.432013414891,334.7320134148909
11,884,154,1,0.13,1209.118036049335,413.93803604933487
12,294,130,4,0.18,2331.7181003515134,524.4381003515131
13,1789,62,4,0.14,1457.914058914019,136.95405891401896
14,1167,3,1,0.14,510.4335721930963,215.45357219309633
15,250,174,4,0.32,7943.403355499521,2530.603355499522
16,878,68,4,0.05,9308.12916771846,3429.52916771846
17,948,25,4,0.39,6497.163810409857,2534.6038104098575
18,975,179,2,0.22,3782.4883839540357,1593.808383954036
19,1326,141,1,0.07,1229.289439292043,416.4694392920429
20,1049,44,1,0.05,619.1619925565113,200.21199255651132
21,789,163,4,0.24,1782.0400383771835,277.2400383771834
22,984,55,2,0.25,750.5139537324478,279.5139537324479
23,889,137,4,0.02,5157.945285395732,1543.705285395732
24,890,130,2,0.1,1279.601396534367,287.8013965343669
25,1925,189,1,0.32,1206.9239348131462,365.08393481314624
26,70,41,4,0.02,3689.7654821321084,600.8054821321083
27,625,172,1,0.34,1135.353076339684,359.1930763396841
28,875,64,2,0.26,1031.6708333472022,250.2308333472023
29,1136,31,3,0.17,4499.27697196559,1755.2969719655898
30,1388,47,2,0.14,5309.800892248302,2172.520892248302
31,1327,130,3,0.01,2111.3423042817053,474.87230428170545
32,471,96,1,0.33,141.8696300060706,17.249630006070607
33,1988,77,1,0.06,1009.210940245578,444.27094024557795
34,91,110,4,0.12,2219.8112832713573,716.7712832713572
35,530,69,3,0.23,3864.4631106552415,1226.4431106552413
36,661,58,2,0.1,1706.2057517880253,226.60575178802523
37,739,106,1,0.2,966.9471330767569,280.54713307675684
38,726,44,3,0.32,1329.5689103318769,429.9289103318769
39,872,74,2,0.19,3430.285150195691,1327.5251501956911
40,1687,56,3,0.38,1508.5331511599834,515.2931511599835
